Train_No,Distance,Route_Type,Start_Time,End_Time,Journey_Duration_Hours
6006,699,Long,1900-01-01 19:25:00,1900-01-01 10:30:00,15.083333333333334
6009,1844,Long,1900-01-01 14:10:00,1900-01-01 20:15:00,6.083333333333333
6010,1843,Long,1900-01-01 19:15:00,1900-01-01 04:30:00,9.25
6041,849,Long,1900-01-01 18:20:00,1900-01-01 11:00:00,16.666666666666668
6042,851,Long,1900-01-01 16:15:00,1900-01-01 08:30:00,16.25
6043,849,Long,1900-01-01 22:30:00,1900-01-01 14:30:00,16.0
6044,852,Long,1900-01-01 15:15:00,1900-01-01 07:20:00,16.083333333333332
6046,852,Long,1900-01-01 14:45:00,1900-01-01 08:45:00,18.0
6047,849,Long,1900-01-01 18:20:00,1900-01-01 10:30:00,16.166666666666668
6048,852,Long,1900-01-01 13:30:00,1900-01-01 06:30:00,17.0
6049,855,Long,1900-01-01 14:45:00,1900-01-01 05:50:00,15.083333333333334
6050,857,Long,1900-01-01 13:00:00,1900-01-01 05:30:00,16.5
6053,626,Long,1900-01-01 18:35:00,1900-01-01 05:10:00,10.583333333333334
6054,627,Long,1900-01-01 15:40:00,1900-01-01 05:00:00,13.333333333333334
6057,1656,Long,1900-01-01 23:50:00,1900-01-01 05:30:00,5.666666666666667
6058,1655,Long,1900-01-01 15:15:00,1900-01-01 19:00:00,3.75
6065,500,Medium,1900-01-01 17:20:00,1900-01-01 06:45:00,13.416666666666666
6066,501,Long,1900-01-01 15:55:00,1900-01-01 02:30:00,10.583333333333334
6067,522,Long,1900-01-01 19:45:00,1900-01-01 05:40:00,9.916666666666666
6068,522,Long,1900-01-01 17:30:00,1900-01-01 05:25:00,11.916666666666666
6081,45,Short,1900-01-01 13:35:00,1900-01-01 14:45:00,1.1666666666666667
6082,45,Short,1900-01-01 15:05:00,1900-01-01 16:15:00,1.1666666666666667
6412,2462,Long,1900-01-01 11:10:00,1900-01-01 16:20:00,5.166666666666667
6512,77,Short,1900-01-01 08:00:00,1900-01-01 10:20:00,2.3333333333333335
6513,17,Short,1900-01-01 07:10:00,1900-01-01 07:45:00,0.5833333333333334
6541,881,Long,1900-01-01 18:00:00,1900-01-01 11:35:00,17.583333333333332
6542,878,Long,1900-01-01 13:35:00,1900-01-01 06:20:00,16.75
6547,632,Long,1900-01-01 22:45:00,1900-01-01 10:30:00,11.75
6548,634,Long,1900-01-01 14:45:00,1900-01-01 04:30:00,13.75
6579,1089,Long,1900-01-01 18:35:00,1900-01-01 14:35:00,20.0
6580,1086,Long,1900-01-01 13:45:00,1900-01-01 09:05:00,19.333333333333332
6581,607,Long,1900-01-01 20:15:00,1900-01-01 09:31:00,13.266666666666667
6582,604,Long,1900-01-01 19:10:00,1900-01-01 08:26:00,13.266666666666667
6591,62,Short,1900-01-01 06:30:00,1900-01-01 08:00:00,1.5
6592,61,Short,1900-01-01 08:15:00,1900-01-01 09:50:00,1.5833333333333333
